"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"77058",3706,2335,1371
"77059",6745,4194,2551
"77060",1761,1204,557
"77061",2486,1690,796
"77062",6630,4186,2444
"77063",5886,3802,2084
"77064",6448,4336,2112
"77065",5131,3476,1655
"77066",4084,2768,1316
"77067",2265,1511,754
"77068",2012,1316,696
"77069",4425,2863,1562
"77070",7811,5221,2590
"77071",5746,3710,2036
"77072",6768,4612,2156
"77073",3079,2051,1028
"77074",5195,3354,1838
"77075",4108,2762,1346
"77076",2479,1684,795
"77077",12729,8178,4546
"77078",1216,852,364
"77079",7529,4945,2584
"77080",5287,3534,1746
"77081",3509,2266,1243
"77082",8733,5858,2875
"77083",12154,8174,3980
"77084",11880,8092,3784
"77085",2487,1666,821
"77086",2469,1639,830
"77087",4592,3059,1533
"77088",5738,3895,1839
"77089",14457,8965,5492
"77090",3403,2249,1148
"77091",2976,2060,916
"77092",3892,2585,1307
"77093",3510,2373,1137
"77094",2615,1747,868
"77095",10830,7429,3401
"77096",10604,6481,4123
"77098",5861,3559,2302
"77099",6195,4119,2076
"77201",204,138,64
"77301",3308,2333,975
"77302",2206,1517,689
"77303",1845,1335,510
"77304",7233,4875,2358
"77306",792,575,217
"77316",5353,3522,1831
"77318",2890,1995,895
"77320",2950,2001,941
"77326",21,14,7
"77327",1998,1255,743
"77328",1325,846,479
"77331",1597,934,663
"77334",39,26,13
"77335",248,182,66
"77336",1273,859,414
"77338",3657,2425,1232
"77339",8263,5276,2987
"77340",3974,2708,1260
"77342",156,104,52
"77345",6100,4031,2069
"77346",9248,6127,3121
"77350",45,35,10
"77351",6362,4323,2039
"77354",5001,3372,1629
"77355",3620,2394,1226
"77356",8775,5742,3033
"77357",2004,1366,638
"77358",639,431,208
"77359",84,59,25
"77360",892,657,235
"77362",830,545,285
"77363",389,274,115
"77364",434,313,121
"77365",3953,2653,1300
"77367",88,61,27
"77368",36,25,11
"77369",62,39,23
"77371",542,336,206
"77372",769,519,250
"77373",5943,4007,1936
"77374",59,42,17
"77375",8798,6020,2778
"77376",52,35,17
"77377",5848,3889,1959
"77378",1841,1270,571
"77379",15898,10392,5506
"77380",10495,6545,3950
"77381",10842,7193,3649
"77382",9550,6569,2981
"77384",5810,3806,2004
"77385",3956,2671,1285
"77386",8436,5717,2719
"77388",7600,5035,2565
"77389",7647,5241,2406
"77396",5497,3627,1870
"77401",9668,5819,3849
"77406",11872,7953,3919
"77407",14727,9781,4946
"77412",56,41,15
"77414",2656,1760,896
"77415",40,29,11
"77417",265,202,63
